Name,Morph
RGC001,
RGC002,
RGC003,
RGC004,
RGC005,
RGC006,
RGC007,
RGC008,
RGC009,37
RGC010,
RGC011,37
RGC012,1wt
RGC013,
RGC014,1wt
RGC015,
RGC016,
RGC017,7i/7o
RGC018,82n
RGC019,
RGC020,
RGC021,
RGC022,
RGC023,
RGC024,
RGC025,
RGC026,73
RGC027,
RGC028,
RGC029,
RGC030,
RGC031,
RGC032,7i/7o
RGC033,
RGC034,
RGC035,
RGC036,37
RGC037,
RGC038,5so
RGC039,
RGC040,
RGC041,
RGC042,
RGC043,82wi
RGC044,
RGC045,37
RGC046,37
RGC047,82wo
RGC048,
RGC049,4ow
RGC050,
RGC051,
RGC052,
RGC053,
RGC054,
RGC055,
RGC056,82wo
RGC057,
RGC058,
RGC059,
RGC060,
RGC061,27
RGC062,
RGC063,
RGC064,
RGC065,
RGC066,
RGC067,
RGC068,
RGC069,37
RGC070,2aw
RGC071,
RGC072,
RGC073,
RGC074,
RGC075,
RGC076,
RGC077,
RGC078,
RGC079,
RGC080,73
RGC081,
RGC082,
RGC083,
RGC084,37
RGC085,
RGC086,
RGC087,
RGC088,37
RGC089,37
RGC090,4ow
RGC091,
RGC092,82wo
RGC093,
RGC094,
RGC095,37
RGC096,
RGC097,
RGC098,
RGC099,1wt
RGC100,
RGC101,
RGC102,
RGC103,
RGC104,8n
RGC105,
RGC106,
RGC107,
RGC108,
RGC109,1wt
RGC110,
RGC111,
RGC112,73
RGC113,
RGC114,
RGC115,
RGC116,
RGC117,
RGC118,
RGC119,73
RGC120,2aw
RGC121,4i
RGC122,
RGC123,
RGC124,
RGC125,37
RGC126,7i/7o
RGC127,
RGC128,73
RGC129,
RGC130,
RGC131,37
RGC132,
RGC133,8n
RGC134,
RGC135,
RGC136,
RGC137,82n
RGC138,1wt
RGC139,82wo
RGC140,
RGC141,
RGC142,37
RGC143,
RGC144,
RGC145,
RGC146,
RGC147,
RGC148,
RGC149,
RGC150,
RGC151,5si
RGC152,
RGC153,
RGC154,
RGC155,
RGC156,37
RGC157,7i/7o
RGC158,6t
RGC159,
RGC160,37
RGC161,37
RGC162,5so
RGC163,37
RGC164,
RGC165,8w
RGC166,8n
RGC167,
RGC168,
RGC169,
RGC170,
RGC171,
RGC172,
RGC173,
RGC174,
RGC175,
RGC176,
RGC177,6t
RGC178,
RGC179,2aw
RGC180,
RGC181,
RGC182,6sn
RGC183,
RGC184,8w
RGC185,
RGC186,8w
RGC187,
RGC188,
RGC189,
RGC190,
RGC191,
RGC192,
RGC193,
RGC194,
RGC195,7i/7o
RGC196,
RGC197,
RGC198,4ow
RGC199,
RGC200,
RGC201,
RGC202,
RGC203,
RGC204,
RGC205,
RGC206,7i/7o
RGC207,
RGC208,5si
RGC209,
RGC210,
RGC211,
RGC212,
RGC213,
RGC214,37
RGC215,8n
RGC216,1wt
RGC217,1wt
RGC218,37
RGC219,
RGC220,
RGC221,
RGC222,
RGC223,
RGC224,
RGC225,
RGC226,
RGC227,
RGC228,
RGC229,
RGC230,
RGC231,1wt
RGC232,
RGC233,
RGC234,
RGC235,
RGC236,
RGC237,37
RGC238,37
RGC239,1wt
RGC240,37
RGC241,
RGC242,6sn
RGC243,73
RGC244,37
RGC245,
RGC246,37
RGC247,
RGC248,
RGC249,
RGC250,
RGC251,
RGC252,
RGC253,37
RGC254,
RGC255,
RGC256,4ow
RGC257,4ow
RGC258,37
RGC259,
RGC260,1wt
RGC261,
RGC262,
RGC263,
RGC264,
RGC265,
RGC266,
RGC267,
RGC268,
RGC269,
RGC270,4ow
RGC271,
RGC272,4ow
RGC273,4ow
RGC274,
RGC275,1wt
RGC276,
RGC277,6sn
RGC278,7i/7o
RGC279,
RGC280,1wt
RGC281,
RGC282,37
RGC283,1wt
RGC284,73
RGC285,
RGC286,
RGC287,4ow
RGC288,
RGC289,
RGC290,
RGC291,37
RGC292,
RGC293,5si
RGC294,
RGC295,
RGC296,
RGC297,8w
RGC298,
RGC299,1wt
RGC300,
RGC301,
RGC302,
RGC303,
RGC304,
RGC305,
RGC306,1wt
RGC307,8w
RGC308,
RGC309,
RGC310,
RGC311,27
RGC312,
RGC313,
RGC314,37
RGC315,
RGC316,7i/7o
RGC317,4ow
RGC318,1wt
RGC319,37
RGC320,
RGC321,1wt
RGC322,
RGC323,
RGC324,
RGC325,4ow
RGC326,37
RGC327,7i/7o
RGC328,8n
RGC329,
RGC330,37
RGC331,37
RGC332,
RGC333,
RGC334,6sn
RGC335,
RGC336,
RGC337,
RGC338,
RGC339,
RGC340,6sn
RGC341,37
RGC342,1wt
RGC343,
RGC344,5si
RGC345,7i/7o
RGC346,4ow
RGC347,7i/7o
RGC348,
RGC349,7i/7o
RGC350,27
RGC351,37
RGC352,
RGC353,
RGC354,1ni
RGC355,
RGC356,1wt
RGC357,
RGC358,
RGC359,
RGC360,
RGC361,37
RGC362,8n
RGC363,
RGC364,
RGC365,
RGC366,1wt
RGC367,
RGC368,
RGC369,
RGC370,
RGC371,
RGC372,
RGC373,
RGC374,
RGC375,7i/7o
RGC376,37
RGC377,37
RGC378,
RGC379,
RGC380,7i/7o
RGC381,4ow
RGC382,
RGC383,
RGC384,
RGC385,
RGC386,1wt
RGC387,
RGC388,
RGC389,
RGC390,
RGC391,
RGC392,
RGC393,
RGC394,
RGC395,
RGC396,
RGC397,8w
RGC398,
RGC399,
RGC400,
RGC401,
RGC402,
RGC403,
RGC404,
RGC405,27
RGC406,
RGC407,
RGC408,4ow
RGC409,
RGC410,
RGC411,
RGC412,
RGC413,
RGC414,1wt
RGC415,
RGC416,
RGC417,
RGC418,4ow
RGC419,
RGC420,
RGC421,82wo
RGC422,1wt
RGC423,
RGC424,
RGC425,
RGC426,
RGC427,
RGC428,
RGC429,
RGC430,
RGC431,
RGC432,
RGC433,
RGC434,1wt
RGC435,
RGC436,
RGC437,
RGC438,1wt
RGC439,
RGC440,
RGC441,
RGC442,
RGC443,1wt
RGC444,
RGC445,1wt
RGC446,
RGC447,
RGC448,7i/7o
RGC449,
RGC450,
RGC451,
RGC452,
RGC453,
RGC454,
RGC455,
RGC456,
RGC457,
RGC458,
RGC459,
RGC460,
RGC461,
RGC462,
RGC463,
RGC464,
RGC465,
RGC466,
RGC467,
RGC468,
RGC469,
RGC470,
RGC471,
RGC472,
